City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,chapadinha,-3.7417,-43.3603,32.42,57,100,0.55,BR,1712756392
131,port douglas,-16.4833,145.4667,25.19,86,100,3.5,AU,1712756411
132,tolanaro,-25.0319,46.9987,31.04,74,20,1.54,MG,1712756411
133,glace bay,46.1969,-59.957,3.88,61,20,6.69,CA,1712756131
134,vilyuchinsk,52.9306,158.4028,1.15,82,100,7.98,RU,1712756411
135,franklin,39.9667,-83.0166,14.86,96,100,3.6,US,1712755997
136,alice springs,-23.7,133.8833,15.68,37,2,2.06,AU,1712756206
137,harlingen,26.1906,-97.6961,21.05,83,0,10.39,US,1712756389
138,oranjemund,-28.55,16.4333,18.92,70,1,9.4,NA,1712756412
139,vorkuta,67.5,64.0,-17.16,90,96,1.34,RU,1712756412
140,jindrichuv hradec,49.144,15.003,11.93,68,100,0.45,CZ,1712756412
141,bonthe,7.5264,-12.505,31.62,61,72,5.54,SL,1712756412
142,margaret river,-33.95,115.0667,16.15,54,0,5.72,AU,1712756228
143,coquimbo,-29.9533,-71.3436,13.85,94,100,1.03,CL,1712756404
144,avarua,-21.2078,-159.775,26.03,89,75,7.72,CK,1712756412
145,talnakh,69.4865,88.3972,-28.22,97,82,3.15,RU,1712756412
146,nurota,40.5614,65.6886,17.71,47,0,5.96,UZ,1712756412
147,tamiahua,21.2667,-97.45,26.03,70,0,12.36,MX,1712756413
148,san patricio,28.017,-97.5169,19.35,62,1,9.25,US,1712756413
149,kununurra,-15.7667,128.7333,20.99,68,50,1.54,AU,1712756373
150,stanley,54.868,-1.6985,9.77,88,75,6.17,GB,1712756413
151,vorgashor,67.5833,63.95,-17.33,90,96,1.88,RU,1712756413
152,pacific grove,36.6177,-121.9166,14.25,91,100,1.34,US,1712756413
153,geraldton,-28.7667,114.6,22.23,64,100,5.14,AU,1712756413
154,tomohon,1.3346,124.8392,20.52,98,26,0.58,ID,1712756394
155,shahecheng,36.9383,114.5058,14.88,51,65,1.04,CN,1712756413
156,mabaruma,8.2,-59.7833,30.48,61,65,2.84,GY,1712756413
157,limon,10.0,-83.0333,24.47,100,75,2.06,CR,1712756258
158,twon-brass,4.3151,6.2418,29.64,73,29,3.83,NG,1712756168
159,badger,64.8,-147.5333,-3.26,86,0,1.54,US,1712756195
160,port said,31.2565,32.2841,24.99,41,0,4.63,EG,1712756414
161,kapuskasing,49.4169,-82.4331,4.05,93,75,4.63,CA,1712756414
162,flying fish cove,-10.4217,105.6791,26.82,83,75,3.6,CX,1712756414
163,jamestown,42.097,-79.2353,14.18,96,100,2.57,US,1712756414
164,tsiombe,-25.3,45.4833,29.27,56,93,6.05,MG,1712756414
165,mejit,10.2753,170.8646,26.69,84,100,11.1,MH,1712756414
166,suntar,62.1444,117.6319,-0.58,86,100,3.9,RU,1712756414
167,luganville,-15.5333,167.1667,26.41,89,63,1.17,VU,1712756414
168,klyuchi,52.2667,79.1667,3.74,84,98,3.41,RU,1712756415
169,olonkinbyen,70.9221,-8.7187,-5.49,80,100,6.4,SJ,1712756415
170,maisi,43.0395,41.2621,12.47,83,100,1.52,GE,1712756415
171,tazacorte,28.629,-17.9293,23.42,70,0,6.69,ES,1712756415
172,juneau,58.3019,-134.4197,4.0,93,100,7.72,US,1712756127
173,columbia falls,48.3725,-114.1815,1.29,94,13,1.03,US,1712756234
174,kashgar,39.4547,75.9797,23.56,9,20,2.0,CN,1712756415
175,langsa,4.4683,97.9683,24.95,95,100,1.01,ID,1712756415
176,chibougamau,49.9168,-74.3659,0.79,80,100,4.12,CA,1712756416
177,dunedin,-45.8742,170.5036,12.11,97,100,0.45,NZ,1712755961
178,lata,40.1629,-8.3327,23.05,42,100,1.97,PT,1712756416
179,saipan,15.1355,145.701,27.39,74,0,7.72,MP,1712756416
180,yelizovo,53.1873,158.3805,1.08,88,100,2.24,RU,1712756416
181,gisborne,-38.6533,178.0042,14.13,91,56,2.76,NZ,1712756416
182,itoman,26.1247,127.6694,22.01,70,40,6.69,JP,1712756416
183,comodoro rivadavia,-45.8667,-67.5,8.92,46,0,4.63,AR,1712756309
184,umba,66.6871,34.3429,0.87,99,100,6.16,RU,1712756417
185,ancud,-41.8697,-73.8203,9.04,72,0,3.61,CL,1712756417
186,georgetown,5.4112,100.3354,29.41,92,20,1.54,MY,1712756136
187,jodhpur,26.2867,73.03,34.41,12,55,2.29,IN,1712756297
188,shakiso,5.75,38.9167,21.77,72,91,2.24,ET,1712756417
189,guerrero negro,27.9769,-114.0611,14.88,82,0,2.63,MX,1712756332
190,portland,45.5234,-122.6762,5.96,91,75,1.34,US,1712755776
191,kuta,-8.7233,115.1723,27.97,94,20,3.13,ID,1712756417
192,san andres,12.5847,-81.7006,29.01,74,40,6.69,CO,1712756418
193,mil'kovo,55.6078,37.7956,21.91,63,16,2.66,RU,1712756418
194,codrington,-38.2667,141.9667,14.65,77,100,4.39,AU,1712756418
195,tazovsky,67.4667,78.7,-25.8,99,25,2.91,RU,1712756418
196,walla walla,46.0646,-118.343,7.47,80,0,2.57,US,1712756172
197,afaahiti,-17.75,-149.2833,24.93,82,23,5.75,PF,1712756418
198,masterton,-40.9597,175.6575,18.27,73,100,3.54,NZ,1712756418
199,mount isa,-20.7333,139.5,15.87,59,4,2.06,AU,1712756419
200,rio grande,-32.035,-52.0986,24.06,75,69,5.66,BR,1712756392
201,huarmey,-10.0681,-78.1522,23.27,81,65,3.37,PE,1712756419
202,aasiaat,68.7098,-52.8699,-9.37,80,88,3.34,GL,1712756419
203,kruisfontein,-34.0033,24.7314,17.71,79,97,6.75,ZA,1712756419
204,martapura,-3.4167,114.85,24.57,99,100,0.48,ID,1712756419
205,santa sylvina,-27.8326,-61.1375,19.47,94,100,3.99,AR,1712756419
206,sao joaquim,-28.2939,-49.9317,22.23,49,0,2.0,BR,1712756420
207,mumbwa,-14.9783,27.0619,23.24,84,98,0.71,ZM,1712756420
208,port elizabeth,-33.918,25.5701,18.94,96,100,6.69,ZA,1712756420
209,enewetak,11.3474,162.3373,27.12,81,100,10.26,MH,1712756420
210,pisco,-13.7,-76.2167,23.03,83,20,1.54,PE,1712756420
211,broome,42.2506,-75.833,16.22,80,100,0.45,US,1712756420
212,shatrovo,56.5167,64.6333,1.65,72,97,1.96,RU,1712756420
213,t'ongch'on-up,38.9539,127.8917,12.05,73,100,3.52,KP,1712756421
